,target,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,rank
1329,CC(C)C(NC(=O)Cn1cccc(N)c1=O)C(=O)C(F)(F)F.O=C(Cl)CCc1ccccc1,CC(C)C(NC(=O)Cn1cccc(NC(=O)/C=C/c2ccccc2)c1=O)C(=O)C(F)(F)F,CC(C)C(NC(=O)Cn1cccc(N)c1=O)C(=O)C(F)(F)F.O=C(Cl)CCc1ccccc1,CC(C)C(NC(=O)Cn1cccc(NC(=O)CCc2ccccc2)c1=O)C(O)C(F)(F)F,CC(C)C(NC(=O)Cn1cccc(NC(=O)/C=C/c2ccccc2)c1=O)C(O)C(F)(F)F,CC(C)C(O)(NC(=O)Cn1cccc(N)c1=O)C(F)(F)F.O=C(Cl)CCc1ccccc1,2
1330,NCC(=O)O.O=C(O)CCc1cc(Cl)c(Oc2ncccc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,CC(C)(C)OC(=O)CNC(=O)CCc1cc(Cl)c(Oc2ncccc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,CCOC(=O)CNC(=O)CCc1cc(Cl)c(Oc2ncccc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,COC(=O)CNC(=O)CCc1cc(Cl)c(Oc2ncccc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,NCC(=O)O.O=C(O)CCc1cc(Cl)c(Oc2ncccc2C(=O)N2CCN(C3CC3)c3ccccc32)cc1Cl,NCC(=O)N1CCN(C2CC2)c2ccccc21.O=C(O)c1cccnc1Oc1cc(Cl)c(Cl)cc1Cl,4
1331,Cc1noc(C)c1B1OC(C)(C)C(C)(C)O1.O=S(=O)(NC1CCCC1)c1cc(Cl)cc2nccnc12,Cc1noc(C)c1-c1cc(S(=O)(=O)Cl)c2nccnc2c1.NC1CCCC1,Cc1noc(C)c1B(O)O.O=S(=O)(NC1CCCC1)c1cc(I)c2cncnc2c1,Cc1noc(C)c1B1OC(C)(C)C(C)(C)O1.O=S(=O)(NC1CCCC1)c1cc(I)c2cncnc2c1,C=c1nccnc1=C(Br)C=CS(=O)(=O)ONC1CCCC1.Cc1noc(C)c1B(O)O,Cc1noc(C)c1B(O)O.O=S(=O)(NC1CCCC1)c1cc(Cl)c2cncnc2c1,0
1332,CCn1c(C(C)=O)cnc1Oc1ccc(C)cc1,CCn1c(C(C)=O)cnc1Oc1ccc(C)cc1,CCOC(=O)c1cnc(Oc2ccc(C)cc2)n1CC,CCn1c(C(C)=O)cnc1Cl.Cc1ccc(O)cc1,CCOC(=O)C=C1CN(CC)C(Oc2ccc(C)cc2)=N1,CCn1c(C=O)cnc1Oc1ccc(C)cc1.C[Mg+],1
1333,CC(C)(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(CBr)cc2s1.c1c[nH]cn1,CC(C)(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(CBr)cc2s1.c1c[nH]cn1,CC(C)(C)OC(=O)Nc1nc2c(I)cc(Cn3ccnc3)cc2s1.O=[N+]([O-])c1cccc(B(O)O)c1,CC(C)(C)OC(=O)Nc1nc2c(Br)cc(Cn3ccnc3)cc2s1.O=[N+]([O-])c1cccc(B(O)O)c1,CC(C)(C)OC(=O)Nc1nc2c(-c3cccc([N+](=O)[O-])c3)cc(C=O)cc2s1.c1c[nH]cn1,CC(C)(C)OC(=O)Nc1ncc(-c2cccc([N+](=O)[O-])c2)cc(CBr)ccs1.c1c[nH]cn1,1
1334,NC1CCOCC1.O=[N+]([O-])c1ccc(Cl)nc1Cl,NC1CCOCC1.O=[N+]([O-])c1ccc(Cl)nc1Cl,NNC1CCOCC1.O=[N+]([O-])c1ccc(Cl)nc1Cl,NC1CCOCC1.O=[N+](O)c1ccc(Cl)nc1Cl,NC1CCOCC1.O=[N+]([O-])c1ccc(Cl)nc1F,NC1CCOCC1.O=[N+]([O-])C=CC=C(Cl)Cl,1
1335,C=Cc1cc(OC)c2cc[nH]c2c1.COc1ccc(B(O)O)cc1F,C=C(F)C(=CC=CNC1=CC(=COC)C(F)=C1)OC.C=C[Sn](CCCC)(CCCC)CCCC,C=C(F)C(=CC=CNC1=C(C=COC)c2cc(Br)ccc21)OC.C=C[Sn](CCCC)(CCCC)CCCC,C=C[Sn](CCCC)(CCCC)CCCC.COc1ccc(Nc2ccc(OC)c(F)c2)cc1F,C=C(F)C(=CC=CNC1=C(C=COC)C(=CF)C=C1)OC.C=C[Sn](CCCC)(CCCC)CCCC,C=C(F)C(=CC=CNC(=CC=COC)c1ccc(Br)cc1F)OC.C=C[Sn](CCCC)(CCCC)CCCC,0
1336,CN(CCN1CCC(O)CC1)C(=O)OC(C)(C)C,CN(CCN1CCC(OCC=O)CC1)C(=O)OC(C)(C)C,COCCOC1CCN(CCN(C)C=O)CC1,CCOC(=O)OCCOC1CCN(CCN(C)CC)CC1,COCCOC1CCN(CCN(C)OOC(C)(C)C)CC1,CC1Cc2ccccc2COC2CCN(CCN(C)OOC(C)(C)C)CC12,0
1337,Fc1cccc(-c2nccc(N3CCNCC3)n2)c1F.O=C(Nc1ccc(F)nc1)OCC(Cl)(Cl)Cl,CN=C(Cl)C=CN=CC(F)C=CC=CF.O=C(Nc1ccc(F)nc1)N1CCNCC1,Fc1cccc(-c2nccc(N3CCNCC3)n2)c1F.O=C=Nc1ccc(F)nc1,FC=CC=CC(F)C=NC=CC(Cl)=NF.O=C(Nc1ccc(F)nc1)N1CCNCC1,CN=C(C=CN=CC(F)C=CC=CF)N1CCNCC1.O=C=Nc1ccc(F)nc1,CN=C(Cl)C=CN=CC(F)C=CC=CF.O=C(Nc1ccc(F)nc1)OCC(Cl)(Cl)Cl,0
1338,BrCC1CCCCC1.CC(=O)CCn1cnc2[nH]c(=O)n(CC3CC3)c(=O)c21,CC(O)CCn1cnc2c1c(=O)n(CC1CC1)c(=O)n2CC1CCCCC1,CC(=O)CCBr.O=Cc1[nH]cnc1N(CC1CCCCC1)C(=O)NCC1CC1,CC(=O)CCBr.O=CNC=Nc1cc(=O)n(CC2CC2)c(=O)n1CC1CCCCC1,BrCC1CC1.CC(=O)CCn1cnc2c1c(=O)[nH]c(=O)n2CC1CCCCC1,CC(=O)CCBr.O=Cc1[nH]cnc1N(CC1CC1)C(=O)NCC1CCCCC1,0
1339,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COc1ccc(CN(c2cc(N[C@H]3CC[C@H](N)CC3)nn3c(C(=O)Nc4ccncc4F)cnc23)C2CC2)cc1,COc1ccc(CN(c2cc(N[C@H]3CC[C@H](NC(=O)OC(C)(C)C)CC3)nn3c(C(=O)Nc4ccncc4F)cnc23)C2CC2)cc1,COc1ccc(CN(C=CC2=Nn3c(C(=O)Nc4ccncc4F)cnc3C3C[C@H](CC[C@@H]3NC(=O)OC(C)(C)C)N2)C2CC2)cc1,COC=CC=CC1C=CC2CC2c2ncc(C(=O)O)[nH]nc(N[C@H]3CC[C@H](NC(=O)OC(C)(C)C)CC3)cc2N1C.Nc1ccncc1F,COC=CC=CC1C=CC2CC2c2ncc(C(=O)O)n2N=C(N[C@H]2CC[C@H](NC(=O)OC(C)(C)C)CC2)C=CN1C.Nc1ccncc1F,COC=CC=CC1C=CC2CC2C2=NC=C(C(=O)O)NN=C(N[C@H]3CC[C@H](NC(=O)OC(C)(C)C)CC3)C2=CN1C.Nc1ccncc1F,0
1340,CC(C)(C)OC(=O)N1CCN(c2ccc(N3CCN(CCS(C)(=O)=O)CC3)cn2)c2ccccc21,CCC(=CC=CN1CCNC(CS(C)(=O)=O)C1)NCCNc1ccccc1N,C=Nc1ccccc1NCCNC(C)=CC=CN1CCN(CCS(C)(=O)=O)C1,CS(=O)(=O)CCBr.c1ccc2c(c1)NCCN2c1ccc(N2CCNCC2)cn1,CS(=O)(=O)CCN1CCN(c2ccc(Cl)nc2)CC1.c1ccc2c(c1)NCCN2,C=Nc1ccccc1NCCNC(=CC=CN1CCNCCS(=O)(=O)C1)PCC,0
1341,COC(=O)c1cc(F)c(F)c(Br)c1F.N#C[Cu],COC(=O)c1cc(F)c(F)c(Br)c1F.N#C[Cu],COC(=O)c1cc(F)c(F)c(Br)c1F.[C-]#N,COC(=O)c1cc(F)c(F)c(C(N)=O)c1F,COC(=O)c1cc(F)c(F)cc1F.N#C[Cu],COC(=O)c1cc(F)c(F)c(C(N)=O)c1F.Cl,1
1342,CCN.O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)Cl)c1Cl,CCN.O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)Cl)c1Cl,CCN.O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1Cl,CCN.O=[N+]([O-])Cc1cc(Cl)c(S(=O)(=O)Cl)c(Cl)c1,CCN.O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)F)c1Cl,CCN.O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)Br)c1Cl,1
1343,O=[N+]([O-])c1cccc2oc(-c3c(F)cccc3F)nc12,O=[N+]([O-])c1cccc2oc(-c3c(F)cccc3F)nc12,Clc1ccc2c(n1)=NC=2.OB(O)c1c(F)cccc1F,CC(C)(C)OC(=O)Nc1cccc2oc(-c3c(F)cccc3F)nc12,CC(=O)Nc1cccc2oc(-c3c(F)cccc3F)nc12,[N-]=[N+]=Nc1cccc2oc(-c3c(F)cccc3F)nc12,1
1344,CSCCC(NC(=O)OCc1ccccc1)C(=O)O.Cc1c(N)cccc1Br,CSCCC(N)C(=O)Nc1cccc(Br)c1C.O=C(Cl)OCc1ccccc1,CSCCC(NC(=O)OCc1ccccc1)C(=O)O.Cc1c(N)cccc1Br,CSCCC(N)C(=O)OCc1ccccc1.Cc1c(N)cccc1Br,CSCCC(NC(=O)OCc1ccccc1)C(=O)O.Cc1c(N)cccc1Br,CSCC[C@@H](N)C(=O)Nc1cccc(Br)c1C.O=C(Cl)OCc1ccccc1,2
1345,CC(CNS(=O)(=O)C(C)C)Oc1ccc(Br)cc1.OB(O)c1ccccc1F,CC(CNS(=O)(=O)C(C)C)Oc1ccc(Br)cc1.OB(O)c1ccccc1F,CC(C)S(=O)(=O)C(C)CN.CC(CN)Oc1ccc(-c2ccccc2F)cc1,CC(CN)Oc1ccc(-c2ccccc2F)cc1.CC(Cl)CNS(=O)(=O)C(C)C,CC(C)S(=O)(=O)Cl.CC(CN)Oc1ccc(-c2ccccc2F)cc1,CC(Br)CNS(=O)(=O)C(C)C.CC(CN)Oc1ccc(-c2ccccc2F)cc1,1
1346,CON(C)C(=O)c1cc2cnc(SC)nc2n1-c1ccc(F)cc1.Clc1ccccc1CBr,CSc1ncc2cc(C(O)Cc3ccccc3Cl)n(-c3ccc(F)cc3)c2n1,C[S-].O=C(Cc1ccccc1Cl)c1cc2nc(Cl)ncc2n1-c1ccc(F)cc1,CON(C)C(=O)Cc1ccccc1Cl.CSc1nc2ccc(N)n(-c3ccc(F)cc3)c-2n1,C[S-].O=C(Cc1ccccc1Cl)c1cc2cnc(Cl)nc2n1-c1ccc(F)cc1,CS(=O)(=O)OC(=O)Cc1ccccc1Cl.CSc1nc2ccc(N)n(-c3ccc(F)cc3)c-2n1,0
1347,CCOC(=O)C(Br)c1ccccc1.COc1ccc(Cn2ncc3c4c(cnc32)CNCC4)cc1,CCOC(=O)C(Br)c1ccccc1.CNCc1cncc2c1cnn2Cc1ccc(OC)cc1,CCOC(=O)C(Br)c1ccccc1.COC1=CC=C(CNN=C2C#CC(C=CCNC=N)=C2)CC=C1,CC=CC1=CC=NN(CC(C)=CC=COC)CC=NN1.CCOC(=O)C(Br)c1ccccc1,C=NCCc1ccnc2c1cnn2Cc1occc1C=COC.CCOC(=O)C(Br)c1ccccc1,CCOC(=O)C(Br)c1ccccc1.COc1ccc(Cn2nc3c4c(ccnc42)CCNC3)cc1,0
1348,COC(=O)C12CC3CC(CC(C(=O)O)(C3)C1)C2.NCC(=O)c1ccc([N+](=O)[O-])cc1,COC(=O)C1CC23CC(C(=O)O)CC(C2)C1C3.NCC(=O)c1ccc([N+](=O)[O-])cc1,COC(=O)CC12CC1C1CC(C(=O)O)CC2C1.NCC(=O)c1ccc([N+](=O)[O-])cc1,COC(=O)C1C2CC1C1CC(C(=O)O)CC2C1.NCC(=O)c1ccc([N+](=O)[O-])cc1,COC(=O)C12CC3CC(C(=O)O)CC(C3)C1C2.NCC(=O)c1ccc([N+](=O)[O-])cc1,COC(=O)CC12CC3CC(C(=O)O)CC3C1C2.NCC(=O)c1ccc([N+](=O)[O-])cc1,0
1349,CS(=O)(=O)c1ccc(C=O)cc1.N#Cc1cc(N)cc(F)c1,CS(=O)(=O)c1ccc(C=O)cc1.N#Cc1cc(N)cc(F)c1,CS(=O)(=O)c1ccc(CN)cc1.N#Cc1cc(F)cc(F)c1,CS(=O)(=O)c1ccc(C=O)cc1.N#Cc1cc(N)cc(F)c1,CS(=O)(=O)c1ccc(CBr)cc1.N#Cc1cc(N)cc(F)c1,CS(=O)(=O)c1ccc(CBr)cc1.N#Cc1cc(N)cc(F)c1,1
1350,COC(=O)c1ccc(NC2CCCCC2C)c([N+](=O)[O-])c1,COC(=O)c1ccc(NC2CCCCC2C)c([N+](=O)[O-])c1,C=C(C(=CC=CC(=O)OC)NC1CCCCC1C)[N+](=O)[O-],COC(=O)C1=CC=C(NC2CCCCC2)CC([N+](=O)[O-])=C1,COC(=O)C=C1C=C(NC2CCCCC2C)C([N+](=O)[O-])=C1,C=C(C(=CC=CC(=O)OC)NC1CCCCC1C)[N+](=O)[O-],1
1351,CCCNC(=O)c1ccc(NC(=O)N2Cc3ccc(C(=O)OC)cc3C2)cc1,C#CC(=CC=CC1NC(=O)NC2=CC(=CC(=O)NCCC)C=CC1C2)CO[Si](C)(C)C(C)(C)C,CCCNC(=O)C=CC=C(C)NC(=O)NCc1ccc(C=O)cc1CC,C=CC(=CC=CCN1C(=O)NC2=CC=C(C(=O)NCCC)C=CC21)CO[Si](C)(C)C(C)(C)C,CCCNC(=O)c1ccc(NC(=O)NCc2ccc(CO[Si](C)(C)C(C)(C)C)cc2C)cc1,CCCNC(=O)C=C1C=C(NC(=O)N2Cc3ccc(C(=O)OCC)cc3C2C)C1,0
1352,CCOC(=O)c1cccc(-c2ccc(CSCCOc3ccccc3)cc2)c1,CCOC(=O)c1ccc(-c2ccc(CCl)cc2)cc1.SCCOc1ccccc1,BrCCOc1ccccc1.CCOC(=O)c1ccc(-c2ccc(CS)cc2)cc1,BrCCOc1ccccc1.C#CC(=CC=CC1=CC(=CC(=O)OCC)C=C1)CS,CCOC(=O)c1ccc(-c2ccc(CBr)cc2)cc1.SCCOc1ccccc1,CCOC(=O)c1ccc(-c2ccc(CF)cc2)cc1.SCCOc1ccccc1,0
1353,CS(=O)(=O)Cl.Cc1nccn1CCO,CS(=O)(=O)Cl.Cc1nccn1CCO,CS(=O)(=O)Cl.Cc1nccn1CCO,CS(=O)(=O)OCCBr.Cc1nccn1CCO,C#CCn1ccnc1C.CS(=O)(=O)Cl,CS(=O)(=O)Cl.Cc1nccn1CCOS(C)(=O)=O,1
1354,CNc1ccncc1N.O=C(O)C(F)(F)F,CI.FC(F)(F)c1nc2cnccc2[nH]1,CI.FC(F)(F)c1nc2ccncc2[nH]1,CI.FC(F)(F)c1nc2cccnc2[nH]1,Cn1c(C(F)(F)F)nc2c(Cl)ccnc21,Cn1c(C(F)(F)F)nc2cnc(Cl)cc21,0
1355,CCCCCc1sc(C(=O)OCC)nc1-c1ccccc1,CCCCCc1sc(C(=O)OCC)nc1-c1ccccc1,CCCCCc1sc(C(=O)OC)nc1-c1ccccc1,CCCCCc1sc(C(=O)OC(C)(C)C)nc1-c1ccccc1,CCCCCc1sc(C(=O)OCc2ccccc2)nc1-c1ccccc1,CCCCCC(Br)C(=O)c1ccccc1.NC(=O)O,1
1356,COc1ccc(CCOS(C)(=O)=O)c(F)c1.C[C@@H]1CCCN1,OC1(C2=CC=COCC=C2F)CCCC1,COc1ccc(CCCl)c(F)c1.C[C@@H]1CCCN1,COc1ccc(CC=O)c(F)c1.C[C@@H]1CCCN1,COc1ccc(C=CN2CCC[C@H]2C)c(F)c1,CC[C@@H]1CCCN1C=CC(F)=CC=COC,0
1357,N[C@@H](Cc1ccccc1C(F)(F)F)CN1C(=O)c2ccccc2C1=O.O=C(O)c1ccc(Br)cn1,N[C@@H](Cc1ccccc1C(F)(F)F)CN1C(=O)c2ccccc2C1=O.O=C(O)c1ccc(Br)cn1,N[C@@H](Cc1ccccc1C(F)(F)F)CN1C(=O)c2ccccc2C1=O.O=C(Cl)c1ccc(Br)cn1,COC(=O)c1ccc(Br)cn1.N[C@@H](Cc1ccccc1C(F)(F)F)CN1C(=O)c2ccccc2C1=O,NC(Cc1ccccc1C(F)(F)F)CN1C(=O)c2ccccc2C1=O.O=C(O)c1ccc(Br)cn1,O=CN1C[C@H](Cc2ccccc2C(F)(F)F)NC(=O)c2ccccc2C1=O,1
1358,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)O.NC1C(=O)NC(c2ccccc2)c2ccccc21,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)O.NC1C(=O)NC(c2ccccc2)c2ccccc21,C[C@H](N)C(=O)NC1C(=O)NC(c2ccccc2)c2ccccc21.O=C(O)Cc1cc(F)cc(F)c1,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)[O-].NC1C(=O)NC(c2ccccc2)c2ccccc21,C[C@H](N)C(=O)NC1C(=O)NC(c2ccccc2)c2ccccc21.O=C(Cl)Cc1cc(F)cc(F)c1,C[C@H](NC(=O)Cc1cc(F)cc(F)c1)C(=O)O.O=CCN1C(=O)NC(c2ccccc2)c2ccccc21,1
1359,Fc1ccc2c(c1)CCC2Nc1ccc2cc(Br)ccc2n1.Nc1cccc(C(F)(F)F)n1,Fc1ccc2c(c1)CCC2Nc1ccc2cc(Br)ccc2n1.Nc1cccc(C(F)(F)F)n1,Fc1ccc2c(c1)CCC2Nc1ccc2cc(Br)ccc2n1.Nc1cccc(C(F)(F)F)n1,C=c1cnc(Cl)cc1=CC=CNC1C=C(C=CC(F)(F)F)NO1.Nc1ccc2c(c1)CCC2F,C=C=Nc1cc(F)ccc1CCCNC1=CC=CC(=CN)C=P1.FC(F)(F)c1cccc(Cl)n1,FC(F)(F)c1cccc(Nc2ccc3cc(Cl)ncc3c2)n1.Nc1ccc2c(c1)CCC2F,1
1360,COC(=O)c1cc(N)ccc1Cl.Clc1ccc(Cl)nn1,COC(=O)c1cc(N)ccc1Cl.Clc1ccc(Cl)nn1,COC(=O)c1cc(Br)ccc1Cl.Nc1ccc(Cl)nn1,COC(=O)c1cc(N)ccc1Cl.Clc1ccc(Br)nn1,COC(=O)c1cc(I)ccc1Cl.Nc1ccc(Cl)nn1,COC(=O)c1cc(B(O)O)ccc1Cl.Nc1ccc(Cl)nn1,1
1361,CC(C)c1nnc2ccc(C(Br)C(=O)c3ccc(F)cc3F)nn12.NC(=S)N1CCCCC1,C1CCNCC1.C=CC(F)=CC=Cc1nc(Cl)sc1C1(F)C=CC=NN=C1C(C)C,C1CCNCC1.C=CC(F)=CC=Cc1nc(Cl)sc1C1(F)C=CC=NN=C1C(C)C,C1CCNCC1.CC(C)C=NN=CC=CC(F)c1sc(Cl)nc1-c1ccc(F)cc1,C1CCNCC1.CC(C)C=NN=CC=CC(F)c1sc(Cl)nc1-c1ccc(F)cc1,C1CCNCC1.C=CC(F)=CC=Cc1nc(Cl)sc1C1(F)C=CC=NN=C1C(C)C,0
1362,CCOC(=O)C(N)C(=O)OCC.Cc1ccc(C(=O)O)nc1,CCOC(=O)C(N)C(=O)OCC.Cc1ccc(C(=O)Cl)nc1,CCOC(=O)C(N)C(=O)OCC.Cc1ccc(C(=O)O)nc1,CCOC(=O)C(N)C(=O)OCC.Cc1ccc(C(=O)Cl)cn1,CCOC(=O)C(N)C(=O)OCC.Cc1ccc(C(=O)Cl)nc1,CCOC(=O)C(O)(NC(=O)C=CC=C(C)C=NC)OCC,2
1363,CC(=O)c1cccc(O)c1.CC(C)C(=O)Nc1cccc(C2CCN(CCCCCC(O)c3ccccc3)CC2)c1,CC(C)C(=O)Nc1cccc(C2CCNCC2)c1.O=C1C=CC=CCOC(CCCCCBr)C=CC=CC=C=CC1,C=C=CC=CC=CC(CCCCCBr)OCC=CC=CC(C)=O.CC(C)C(=O)Nc1cccc(C2CCNCC2)c1,C#CC=CC=CC(O)CCCCCN1CCC(CC2C=CC(=CNC(=O)C(C)C)C=C2)C1.CC(=O)c1cccc(O)c1,CC(=O)c1cccc(O)c1.CC(C)C(=O)Nc1cccc(C2CCN(CCCCC(O)c3ccccc3)CC2)c1,C=C=CC=CC=CC(CCCCCBr)OCC=CC=CC(C)=O.CC(C)C(=O)Nc1cccc(C2CCNCC2)c1,0
1364,CNOC.O=C(O)c1cc(Cl)nc(Cl)c1,CNOC.O=C(O)c1cc(Cl)nc(Cl)c1,CNOC.O=C(Cl)c1cc(Cl)nc(Cl)c1,CCOC(=O)c1cc(Cl)nc(Cl)c1.CNOC,CNOC.O=C(O)c1cc(Cl)nc(Cl)c1,CNOC.O=C(Cl)c1cc(Cl)nc(Cl)c1,1
1365,CC(C)(C)OC(=O)N1CC[C@@H](NC(=O)OCc2ccccc2)[C@@H](C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)C1,CC(C(=O)N1CCC[C@@H](Cc2ccc(F)cc2)C1)[C@@H](CCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1,CC(C)(C)OC(=O)N1CC[C@@H](N=[N+]=[N-])[C@@H](C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)C1,CC(C)(C)OC(=O)N1CC[C@@H](N=[N+]=[N-])C(C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)C1,CC(C)(C)OC(=O)N[C@@H]1CCN(C(=O)OC(C)(C)C)CC1C(=O)N1CCC[C@@H](Cc2ccc(F)cc2)C1,CC(C)(C)OC(=O)NC1C[C@H](C(=O)N2CCC[C@@H](Cc3ccc(F)cc3)C2)[C@H](N=[N+]=[N-])C1,0
1366,CCCCCC(=O)/C=C/c1scnc1CCCCCCC(=O)OC,C=[N+]=[N-].CCCCCC(O)/C=C/c1scnc1CCCCCCC(=O)O,CCCCCC(=O)/C=C/c1scnc1CCCCCCC(=O)OC,CCCCCC(O)/C=C/c1scnc1CCCCCCC(=O)OC,C=Cc1scnc1CCCCCCC(=O)OC.CCCCCC(O)/C=C/CBr,C=[N+]=[N-].CCCCC[C@@H](O)/C=C/c1scnc1CCCCCCC(=O)O,2
1367,NC(=O)Nc1cccc(O)c1.O=C(CCCCN(CCCl)Cc1ccccc1)NC1CCCCCC1,NC(=O)NC=CC=CCOC1C=C=CC=CC=CCN(CCCCC(=O)O)C1.NC1CCCCCC1,NC(=O)N1C=CC=CCOCCNCCCCC(=O)NC2CCCCCC2=C1.O=Cc1ccccc1,N=C=O.Nc1cccc(OCCN(CCCCC(=O)NC2CCCCCC2)Cc2ccccc2)c1,C=C1CCCCCC1NC(=O)CCCCNCCOC1C=CC=CNC(=O)N1.O=Cc1ccccc1,NC(=O)NC=CC=CCOC1C=C2CCCCCC2NC(=O)CCCCNC1.O=Cc1ccccc1,0
1368,CC(C)(C)[Si](C)(C)OCC=O.NCc1cc(-c2ccc(C(F)(F)F)cc2)ccc1[N+](=O)[O-],CC(C)(C)[Si](C)(C)OCCN.O=[N+]([O-])c1ccc(-c2ccc(C(F)(F)F)cc2)cc1CBr,CC(C)(C)[Si](C)(C)OCCN.O=[N+]([O-])c1ccc(-c2ccc(C(F)(F)F)cc2)cc1CCl,CC(C)(C)[Si](C)(C)OCCN.O=[N+]([O-])c1ccc(-c2ccc(C(F)(F)F)cc2)cc1CO,CC(C)(C)[Si](C)(C)OCCNCc1cc(Br)ccc1[N+](=O)[O-].OB(O)c1ccc(C(F)(F)F)cc1,CC(C)(C)[Si](C)(C)OCCN.O=[N+]([O-])c1ccc(-c2ccc(C(F)(F)F)cc2)cc1Br,0
1369,COC(=O)COc1ccc(Br)cc1C=C1SC(=Nc2ccc(Cl)cc2)NC1=O,CCOC(=O)COc1ccc(Br)cc1C=C1SC(=Nc2ccc(Cl)cc2)NC1=O,O=C(O)CBr.O=C1NC(=Nc2ccc(Cl)cc2)C=C1c1cc(Br)ccc1O,O=C(O)CCl.O=C1NC(=Nc2ccc(Cl)cc2)C=C1c1cc(Br)ccc1O,CC(C)(C)OC(=O)COc1ccc(Br)cc1C=C1SC(=Nc2ccc(Cl)cc2)NC1=O,C=CC=CC(=O)COc1ccc(Br)cc1C=C1SC(=Nc2ccc(Cl)cc2)NC1=O,0
1370,Nc1ccc(I)cc1.O=C1COCCN1,O=C1COCCN1c1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)Nc1ccc(N2CCOCC2=O)cc1,O=C1COCCN(c2ccc([N+](=O)[O-])cc2)O1,CC=C1C=CC([N+](=O)[O-])C(=O)COCCN1,Nc1ccc(Br)cc1.O=C1COCCN1,0
1371,CC(C)(C)OC(=O)N1CCN(Cc2ccc(C(=O)O)cc2)C(=O)C1.Nc1ccc(Cl)c(-c2ccccn2)c1,CC(C)(C)OC(=O)N1CCNC(=O)C1.O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(CBr)cc1,CC(C)(C)OC(=O)N1CCN(Cc2ccc(C(=O)O)cc2)C(=O)C1.Nc1ccc(Cl)c(-c2ccccn2)c1,CC(C)(C)OC(=O)N1CCNC(=O)C1.O=C(Nc1ccc(Cl)c(-c2ccccn2)c1)c1ccc(CCl)cc1,C=CC=C(C(Cl)=CC(=CC=CC(=O)OC)CN1CCN(C(=O)OC(C)(C)C)CC1=O)c1ccccn1,CC(C)(C)OC(=O)NC1CC(=O)N(Cc2ccc(C(=O)O)cc2)C1.Nc1ccc(Cl)c(-c2ccccn2)c1,2
1372,CCN1C(=O)C(F)(F)CN(C2CCCC2)c2nc(Cl)ncc21.COc1cc(C(=O)O)ccc1N,CCN1C(=O)C(F)(F)CN(C2CCCC2)c2nc(Cl)ncc21.COc1cc(C(=O)O)ccc1N,CC1NC(=O)C(F)(F)CN(C2CCCC2)c2nc(Cl)ncc21.COc1cc(C(=O)O)ccc1N,C=CN=COc1cc(C(=O)OC)ccc1NC1=CCNC(=O)C(F)(F)CN(C2CCCC2)C=N1,C=CN=COc1cc(C(=O)OC)ccc1NC1=CCNC(=O)C(F)(F)CN(C2CCCC2)C=N1,CCN1C(=O)C(F)(F)CN(C2CCCC2)C2=NC(Nc3ccc(C(=O)OC)cc3O)C=NC=C21,1
1373,NCC(=O)O.O=C(Cl)CCC(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)CNC(=O)CCC(F)(C(F)(F)F)C(F)(F)F,NCC(=O)O.O=C(O)CCC(F)(C(F)(F)F)C(F)(F)F,CC(C)(C)OC(=O)CNC(=O)CCC(F)(C(F)(F)F)C(F)(F)F,COC(=O)CNC(=O)CCC(F)(C(F)(F)F)C(F)(F)F,CCOC(=O)CCC(F)(C(F)(F)F)C(F)(F)F.NCC(=O)O,0
